Date,CCI
1/1/1989 00:00,101.1356
2/1/1989 00:00,101.1159
3/1/1989 00:00,100.9754
4/1/1989 00:00,100.7831
5/1/1989 00:00,100.6554
6/1/1989 00:00,100.6242
7/1/1989 00:00,100.6719
8/1/1989 00:00,100.7513
9/1/1989 00:00,100.9001
10/1/1989 00:00,100.8833
11/1/1989 00:00,100.7618
12/1/1989 00:00,100.6892
1/1/1990 00:00,100.6867
2/1/1990 00:00,100.669
3/1/1990 00:00,100.7365
4/1/1990 00:00,100.7879
5/1/1990 00:00,100.6608
6/1/1990 00:00,100.3812
7/1/1990 00:00,99.90907
8/1/1990 00:00,99.15147
9/1/1990 00:00,98.42366
10/1/1990 00:00,97.84197
11/1/1990 00:00,97.63541
12/1/1990 00:00,97.6982
1/1/1991 00:00,98.03924
2/1/1991 00:00,98.66139
3/1/1991 00:00,99.37086
4/1/1991 00:00,99.57125
5/1/1991 00:00,99.55456
6/1/1991 00:00,99.61854
7/1/1991 00:00,99.67869
8/1/1991 00:00,99.64369
9/1/1991 00:00,99.44774
10/1/1991 00:00,98.98148
11/1/1991 00:00,98.40358
12/1/1991 00:00,98.06356
1/1/1992 00:00,98.01585
2/1/1992 00:00,98.25572
3/1/1992 00:00,98.68612
4/1/1992 00:00,99.02802
5/1/1992 00:00,99.22268
6/1/1992 00:00,99.22842
7/1/1992 00:00,99.05725
8/1/1992 00:00,98.90793
9/1/1992 00:00,98.89766
10/1/1992 00:00,99.15365
11/1/1992 00:00,99.76554
12/1/1992 00:00,100.2635
1/1/1993 00:00,100.3938
2/1/1993 00:00,100.2801
3/1/1993 00:00,100.0966
4/1/1993 00:00,99.86958
5/1/1993 00:00,99.57954
6/1/1993 00:00,99.35399
7/1/1993 00:00,99.14442
8/1/1993 00:00,99.0907
9/1/1993 00:00,99.21022
10/1/1993 00:00,99.48635
11/1/1993 00:00,99.81831
12/1/1993 00:00,100.3
1/1/1994 00:00,100.7148
2/1/1994 00:00,100.863
3/1/1994 00:00,100.8524
4/1/1994 00:00,100.8231
5/1/1994 00:00,100.7616
6/1/1994 00:00,100.6569
7/1/1994 00:00,100.5854
8/1/1994 00:00,100.6307
9/1/1994 00:00,100.7004
10/1/1994 00:00,100.7931
11/1/1994 00:00,100.9057
12/1/1994 00:00,101.0795
1/1/1995 00:00,101.1604
2/1/1995 00:00,101.0295
3/1/1995 00:00,100.8116
4/1/1995 00:00,100.7172
5/1/1995 00:00,100.7048
6/1/1995 00:00,100.8298
7/1/1995 00:00,100.9454
8/1/1995 00:00,100.912
9/1/1995 00:00,100.6786
10/1/1995 00:00,100.5243
11/1/1995 00:00,100.4476
12/1/1995 00:00,100.4713
1/1/1996 00:00,100.4873
2/1/1996 00:00,100.5574
3/1/1996 00:00,100.7
4/1/1996 00:00,100.7282
5/1/1996 00:00,100.7079
6/1/1996 00:00,100.8143
7/1/1996 00:00,100.9705
8/1/1996 00:00,101.0882
9/1/1996 00:00,101.1771
10/1/1996 00:00,101.2968
11/1/1996 00:00,101.3986
12/1/1996 00:00,101.4135
1/1/1997 00:00,101.4632
2/1/1997 00:00,101.5787
3/1/1997 00:00,101.7088
4/1/1997 00:00,101.8701
5/1/1997 00:00,102.0525
6/1/1997 00:00,102.2186
7/1/1997 00:00,102.3304
8/1/1997 00:00,102.333
9/1/1997 00:00,102.3437
10/1/1997 00:00,102.3369
11/1/1997 00:00,102.3189
12/1/1997 00:00,102.2879
1/1/1998 00:00,102.4374
2/1/1998 00:00,102.5973
3/1/1998 00:00,102.6047
4/1/1998 00:00,102.5836
5/1/1998 00:00,102.4867
6/1/1998 00:00,102.3701
7/1/1998 00:00,102.2368
8/1/1998 00:00,102.0484
9/1/1998 00:00,101.8128
10/1/1998 00:00,101.6796
11/1/1998 00:00,101.7711
12/1/1998 00:00,101.911
1/1/1999 00:00,102.1456
2/1/1999 00:00,102.3495
3/1/1999 00:00,102.384
4/1/1999 00:00,102.3793
5/1/1999 00:00,102.422
6/1/1999 00:00,102.4329
7/1/1999 00:00,102.3785
8/1/1999 00:00,102.3182
9/1/1999 00:00,102.3082
10/1/1999 00:00,102.288
11/1/1999 00:00,102.4034
12/1/1999 00:00,102.5636
1/1/2000 00:00,102.7884
2/1/2000 00:00,102.8399
3/1/2000 00:00,102.761
4/1/2000 00:00,102.743
5/1/2000 00:00,102.7183
6/1/2000 00:00,102.622
7/1/2000 00:00,102.5894
8/1/2000 00:00,102.5554
9/1/2000 00:00,102.5069
10/1/2000 00:00,102.4007
11/1/2000 00:00,102.1547
12/1/2000 00:00,101.6385
1/1/2001 00:00,101.1269
2/1/2001 00:00,100.7529
3/1/2001 00:00,100.5916
4/1/2001 00:00,100.5592
5/1/2001 00:00,100.6794
6/1/2001 00:00,100.7567
7/1/2001 00:00,100.6726
8/1/2001 00:00,100.3777
9/1/2001 00:00,99.95277
10/1/2001 00:00,99.79957
11/1/2001 00:00,99.94406
12/1/2001 00:00,100.2937
1/1/2002 00:00,100.6319
2/1/2002 00:00,100.8345
3/1/2002 00:00,101.0176
4/1/2002 00:00,101.0692
5/1/2002 00:00,101.0438
6/1/2002 00:00,100.7985
7/1/2002 00:00,100.4702
8/1/2002 00:00,100.1997
9/1/2002 00:00,99.96297
10/1/2002 00:00,99.78428
11/1/2002 00:00,99.799
12/1/2002 00:00,99.79652
1/1/2003 00:00,99.62177
2/1/2003 00:00,99.46677
3/1/2003 00:00,99.54819
4/1/2003 00:00,99.97324
5/1/2003 00:00,100.3923
6/1/2003 00:00,100.5452
7/1/2003 00:00,100.5474
8/1/2003 00:00,100.4599
9/1/2003 00:00,100.4252
10/1/2003 00:00,100.5704
11/1/2003 00:00,100.8567
12/1/2003 00:00,101.1536
1/1/2004 00:00,101.4273
2/1/2004 00:00,101.316
3/1/2004 00:00,101.1516
4/1/2004 00:00,100.984
5/1/2004 00:00,100.9072
6/1/2004 00:00,101.0423
7/1/2004 00:00,101.1514
8/1/2004 00:00,101.1272
9/1/2004 00:00,101.0108
10/1/2004 00:00,100.9233
11/1/2004 00:00,100.9863
12/1/2004 00:00,101.1193
1/1/2005 00:00,101.1049
2/1/2005 00:00,100.9524
3/1/2005 00:00,100.7275
4/1/2005 00:00,100.5429
5/1/2005 00:00,100.6094
6/1/2005 00:00,100.8546
7/1/2005 00:00,100.7629
8/1/2005 00:00,100.1835
9/1/2005 00:00,99.4793
10/1/2005 00:00,99.25076
11/1/2005 00:00,99.62952
12/1/2005 00:00,100.1947
1/1/2006 00:00,100.4497
2/1/2006 00:00,100.402
3/1/2006 00:00,100.2733
4/1/2006 00:00,100.0269
5/1/2006 00:00,99.75062
6/1/2006 00:00,99.73027
7/1/2006 00:00,99.76569
8/1/2006 00:00,99.86195
9/1/2006 00:00,100.1708
10/1/2006 00:00,100.5821
11/1/2006 00:00,100.8084
12/1/2006 00:00,100.9214
1/1/2007 00:00,100.9528
2/1/2007 00:00,100.7342
3/1/2007 00:00,100.468
4/1/2007 00:00,100.2976
5/1/2007 00:00,100.2385
6/1/2007 00:00,100.1987
7/1/2007 00:00,100.176
8/1/2007 00:00,99.95161
9/1/2007 00:00,99.70176
10/1/2007 00:00,99.41335
11/1/2007 00:00,99.13345
12/1/2007 00:00,98.96877
1/1/2008 00:00,98.81047
2/1/2008 00:00,98.4295
3/1/2008 00:00,97.97022
4/1/2008 00:00,97.45251
5/1/2008 00:00,97.0808
6/1/2008 00:00,96.96391
7/1/2008 00:00,97.16296
8/1/2008 00:00,97.41514
9/1/2008 00:00,97.48967
10/1/2008 00:00,97.14378
11/1/2008 00:00,96.89231
12/1/2008 00:00,96.88499
1/1/2009 00:00,96.89206
2/1/2009 00:00,96.86654
3/1/2009 00:00,97.06443
4/1/2009 00:00,97.50357
5/1/2009 00:00,97.88143
6/1/2009 00:00,98.03787
7/1/2009 00:00,97.99356
8/1/2009 00:00,98.03638
9/1/2009 00:00,98.21065
10/1/2009 00:00,98.23969
11/1/2009 00:00,98.25345
12/1/2009 00:00,98.42408
1/1/2010 00:00,98.58224
2/1/2010 00:00,98.63616
3/1/2010 00:00,98.63313
4/1/2010 00:00,98.61314
5/1/2010 00:00,98.6119
6/1/2010 00:00,98.51891
7/1/2010 00:00,98.24059
8/1/2010 00:00,98.07085
9/1/2010 00:00,98.02115
10/1/2010 00:00,98.11746
11/1/2010 00:00,98.36904
12/1/2010 00:00,98.61428
1/1/2011 00:00,98.72011
2/1/2011 00:00,98.67207
3/1/2011 00:00,98.43385
4/1/2011 00:00,98.37681
5/1/2011 00:00,98.36198
6/1/2011 00:00,98.063
7/1/2011 00:00,97.50134
8/1/2011 00:00,97.02143
9/1/2011 00:00,96.95049
10/1/2011 00:00,97.16488
11/1/2011 00:00,97.58887
12/1/2011 00:00,98.13065
1/1/2012 00:00,98.59355
2/1/2012 00:00,98.85132
3/1/2012 00:00,98.97485
4/1/2012 00:00,99.00912
5/1/2012 00:00,98.95377
6/1/2012 00:00,98.75188
7/1/2012 00:00,98.68073
8/1/2012 00:00,98.84827
9/1/2012 00:00,99.16029
10/1/2012 00:00,99.38406
11/1/2012 00:00,99.29884
12/1/2012 00:00,98.96941
1/1/2013 00:00,98.84274
2/1/2013 00:00,98.94434
3/1/2013 00:00,99.10891
4/1/2013 00:00,99.31819
5/1/2013 00:00,99.65201
6/1/2013 00:00,99.82459
7/1/2013 00:00,99.7874
8/1/2013 00:00,99.51027
9/1/2013 00:00,99.13423
10/1/2013 00:00,98.90176
11/1/2013 00:00,99.00089
12/1/2013 00:00,99.30051
1/1/2014 00:00,99.47088
2/1/2014 00:00,99.53973
3/1/2014 00:00,99.57155
4/1/2014 00:00,99.64497
5/1/2014 00:00,99.63595
6/1/2014 00:00,99.61848
7/1/2014 00:00,99.61916
8/1/2014 00:00,99.70408
9/1/2014 00:00,99.89721
10/1/2014 00:00,100.1764
11/1/2014 00:00,100.523
12/1/2014 00:00,100.9089
1/1/2015 00:00,101.1692
2/1/2015 00:00,101.1717
3/1/2015 00:00,101.0768
4/1/2015 00:00,101.023
5/1/2015 00:00,100.9439
6/1/2015 00:00,100.9578
7/1/2015 00:00,100.8449
8/1/2015 00:00,100.6585
9/1/2015 00:00,100.4906
10/1/2015 00:00,100.5193
11/1/2015 00:00,100.634
12/1/2015 00:00,100.7294
1/1/2016 00:00,100.7423
2/1/2016 00:00,100.7056
3/1/2016 00:00,100.6664
4/1/2016 00:00,100.6881
5/1/2016 00:00,100.8085
6/1/2016 00:00,100.7868
7/1/2016 00:00,100.6425
8/1/2016 00:00,100.5383
9/1/2016 00:00,100.5194
10/1/2016 00:00,100.5951
11/1/2016 00:00,100.9189
12/1/2016 00:00,101.2508
1/1/2017 00:00,101.3967
2/1/2017 00:00,101.3846
3/1/2017 00:00,101.3542
4/1/2017 00:00,101.3144
5/1/2017 00:00,101.2427
6/1/2017 00:00,101.1368
7/1/2017 00:00,101.0983
8/1/2017 00:00,101.1948
9/1/2017 00:00,101.3145
10/1/2017 00:00,101.4619
11/1/2017 00:00,101.4422
12/1/2017 00:00,101.3609
1/1/2018 00:00,101.3897
2/1/2018 00:00,101.5464
3/1/2018 00:00,101.6438
4/1/2018 00:00,101.5948
5/1/2018 00:00,101.5122
6/1/2018 00:00,101.4564
7/1/2018 00:00,101.4261
8/1/2018 00:00,101.4369
9/1/2018 00:00,101.5171
10/1/2018 00:00,101.5
11/1/2018 00:00,101.395
12/1/2018 00:00,101.2311
1/1/2019 00:00,101.0351
2/1/2019 00:00,101.0871
3/1/2019 00:00,101.2964
4/1/2019 00:00,101.4499
5/1/2019 00:00,101.5343
6/1/2019 00:00,101.4443
7/1/2019 00:00,101.2216
8/1/2019 00:00,100.9374
9/1/2019 00:00,100.9373
10/1/2019 00:00,101.1321
11/1/2019 00:00,101.39
12/1/2019 00:00,101.6087
1/1/2020 00:00,101.6071
2/1/2020 00:00,101.1963
3/1/2020 00:00,100.2383
4/1/2020 00:00,99.19643
5/1/2020 00:00,98.71648
6/1/2020 00:00,98.66869
7/1/2020 00:00,98.6853
8/1/2020 00:00,98.87899
9/1/2020 00:00,99.17886
10/1/2020 00:00,99.3216
11/1/2020 00:00,99.28024
12/1/2020 00:00,99.28318
1/1/2021 00:00,99.28902
2/1/2021 00:00,99.423
3/1/2021 00:00,99.77458
4/1/2021 00:00,100.0091
5/1/2021 00:00,99.95272
6/1/2021 00:00,99.75127
7/1/2021 00:00,99.30196
8/1/2021 00:00,98.75563
9/1/2021 00:00,98.46882
10/1/2021 00:00,98.28966
11/1/2021 00:00,98.13383
12/1/2021 00:00,98.03645
1/1/2022 00:00,97.81078
2/1/2022 00:00,97.51551
3/1/2022 00:00,97.2874
4/1/2022 00:00,97.12769
5/1/2022 00:00,96.7371
6/1/2022 00:00,96.34615
7/1/2022 00:00,96.31956
8/1/2022 00:00,96.57574
9/1/2022 00:00,96.787
10/1/2022 00:00,96.89796
11/1/2022 00:00,96.96061
12/1/2022 00:00,97.17366
1/1/2023 00:00,97.44987
2/1/2023 00:00,97.56147
3/1/2023 00:00,97.45362
4/1/2023 00:00,97.36417
5/1/2023 00:00,97.36479
6/1/2023 00:00,97.64713
7/1/2023 00:00,97.97861
8/1/2023 00:00,98.02145
9/1/2023 00:00,97.84526
10/1/2023 00:00,97.64136
11/1/2023 00:00,97.714
12/1/2023 00:00,98.22169
1/1/2024 00:00,98.81554
